地区,2014年,2013年,2012年,2011年,2010年,2009年
北京,1703,1746,1825,1743,1608,1748
天津,818,917,843,845,1011,910
河北,3442,3313,3375,3399,3511,3598
山西,974,930,599,615,610,571
内蒙古,2029,1848,1958,1879,1902,1901
辽宁,5054,4750,5024,4232,4219,4461
吉林,4491,4545,1768,1659,1657,1668
黑龙江,3099,3397,3226,3144,3109,3025
上海,3080,3013,3036,3239,3201,3311
江苏,4364,4062,4095,4193,4605,4792
浙江,3560,3490,3797,3507,3463,3324
安徽,2978,2983,2980,2952,3098,2927
福建,2884,2902,2863,2954,2816,2722
江西,1926,2000,1974,1872,1945,1842
山东,3509,3372,3342,3366,3372,3353
河南,5915,5863,5894,5886,5970,5682
湖北,3695,3761,3440,3349,3152,3247
湖南,3118,3015,3072,2948,2380,2091
广东,7666,7444,7278,7073,7403,7426
广西,1942,1435,1513,1589,1581,1501
海南,269,313,326,327,302,327
重庆,2094,1952,1957,1869,1810,1832
四川,4287,4205,3816,3499,3465,3168
贵州,3483,3192,2985,2925,2669,2589
云南,1437,1231,1144,1049,1516,1524
西藏,31,31,30,30,30,23
陕西,2438,2478,2403,2278,2356,2083
甘肃,818,792,653,788,611,593
青海,169,164,180,159,152,134
宁夏,143,211,224,265,187,208
新疆,1235,1413,1634,1621,1519,1469
